title,bag_of_words
A Love Story,A Love Story maryoj.delosreyes maricelsorianoagamuhlachangelicapanganiban dramas international movies romantic movies mademillionaireianthinkstestmarriescaringjoannafoundhappinesslovemeetsstewardesskarynputself  
A Mighty Team,A Mighty Team thomassorriaux gérarddepardieuchantallaubymedisadoun comedies international movies sports movies localyouthangerleadstrainfitseriousinjurysidelinedsoccerstarreturnshometownreluctantlyagrees  
A Mission in an Old Movie,A Mission in an Old Movie ahmadel-badri edwardfifiabdolotfylabib comedies international movies showbusinesscareerstartlookingkickyoungmanstrugglesromancewayoverbearingmother  
A Monster Calls,A Monster Calls j.a.bayona lewismacdougallsigourneyweaverfelicityjones dramas sci-fi & fantasy mother’fantastictalesyoungboybeginsconsolingtreemonsterunderstandhumancomplexityoverwhelmedillness  
A Most Violent Year,A Most Violent Year j.c.chandor oscarisaacjessicachastaindavidoyelowo dramas thrillers avoidcorruption1981newyorkcityeasypathpursuesincreasinglyviolentbusinesswaramericandreamamidabelmoralestries  
A New York Christmas Wedding,A New York Christmas Wedding otojaabit niafairweatherchrisnothcooperkoch dramas lgbtq movies romantic movies couldvisitedangelbridechildhoodbestfriendfollowedfeelingsrevealsweddingnears  
A Night at the Roxbury,A Night at the Roxbury johnfortenberry willferrellchriskattandanhedaya comedies cult movies dimwitsdougswankynightclubsketchstevegainentrysaturdaynightlivecomedybasedrichardgriecorun  
A Noble Intention,A Noble Intention joramlürsen gijsscholtenvanaschatjacobderwigrifkalodeizen dramas international movies tragedyperilthreatenimmersedheadstrongviolinmakerfindschallengingbusinessmencommunity1888amsterdam  
A Patch of Fog,A Patch of Fog michaellennox stephengrahamconlethhilllarapulver dramas thrillers insteadguardcatchesfriendturningasksrulelifebeginswritertelevisionhostshoplifting  
A Perfect Ending,A Perfect Ending nicoleconn barbaranivenjessicaclarkjohnheard dramas independent movies lgbtq movies unusualsecretpricedcallgirlrepressedwife–promptedfriendsdecidessexualityconfessingexplorehigh  
A Perfect Man,A Perfect Man keesvanoostrum lievschreiberjeannetripplehornjoellecarter dramas independent movies romantic movies husbandpretendingcallingjamesninathinkscheatingsetsanotherwomanprove  
A Princess for Christmas,A Princess for Christmas michaeldamian katiemcgrathsirrogermooresamheughan children & family movies dramas romantic movies youngjulesdalytravelsniecenephewcastledashingprincefallsinvitationeuroperelative  
A Queen Is Born,A Queen Is Born carlabarros gloriagroovealexiatwister international tv shows reality tv alexiatwistermakedragdreamscometruehelpsixartistsfindconfidencemakeovershowgloriagroovestage  
A Remarkable Tale,A Remarkable Tale marinaseresesky carmenmachipepónnietokitimánver comedies international movies reviveresidentsgroupbringingcultureshockforeignersunexpectedlyarrivehomeisolatedtownlookidentity  
A Russell Peters Christmas,A Russell Peters Christmas henrysarwer-foner russellpeterspamelaandersonmichaelbublé stand-up comedy sentimentalsweetvarietyshowssillyinspiredfunnychristmasspecialrussellpeters1970s  
A Scandall,A Scandall ishaantrivedi johnnybawejareethmazumdermanavkaul international movies thrillers makingmovieinterestedseegirlfriendunclefilmschoolgraduatelongclaimsdeaddaughter  
A Second Chance,A Second Chance cathygarcia-molina johnlloydcruzbeaalonzodimplesromana dramas international movies romantic movies popoystorybookweddingbusinesstogether–everimaginedchallengingbashafindmarriedlifestartingfollowing  
A Separation,A Separation asgharfarhadi leilahatamipeymanmoaadishahabhosseini dramas international movies tehranpiouscaretakerimpassefamilyamidhiredfathermarriagebitterfeudinvolvingagingdadbeset  
A Serious Man,"A Serious Man ethancoen,joelcoen michaelstuhlbargrichardkindfredmelamed comedies independent movies everyaspectlifeunravelingjewishphysicsprofessorseeksspiritualguidancethreerabbis  "
A Shaun the Sheep Movie: Farmageddon,"A Shaun the Sheep Movie: Farmageddon richardphelan,willbecher justinfletcherjohnsparkesamaliavitale children & family movies comedies ufofrenzyadorablealienfindflockraceshipcrashshaunwayhomehelpsparkslandsnearmossybottomfarm  "
A Silent Voice,A Silent Voice naokoyamada miyuirinosaorihayamiaoiyuki anime features international movies deafgirlfeelsunworthyformerclassbullyreachestormentedgradeschoolmakethingsrighttriesredemption  
A Single Man,A Single Man tomford colinfirthjuliannemoorenicholashoult dramas independent movies lgbtq movies recentdeathreelinggaycollegeprofessorlongtimeloverlifedaystreamconsciousnessdramacenters  
A Sort of Family,A Sort of Family diegolerman bárbaralenniedanielaráozclaudiotolcachir dramas international movies thrillers argentinedoctorfaceslegalethicalchallengesadoptcountrysidepicktravelsinfantwaiting  
A Sort of Homecoming,A Sort of Homecoming mariaburton lauramaranoparkermackkatherinemcnamara dramas independent movies might–comefloodingbackmemoriescalledlouisianahometownacenewsproduceramyused  
A Stoning in Fulham County,A Stoning in Fulham County larryelikann kenolinjilleikenberrymaureenmueller dramas facesbringyouthsprosecutorattemptsjusticedespitecondemnationcommunityamishchildrecklessteenskill  
A StoryBots Christmas,"A StoryBots Christmas evanspiridellis,jeffgill edwardasnerjudygreererinfitzgerald children & family movies comedies missingbothinksgivingholidaygiftfindsantaclaus–studygoodenoughheadsnorth  "
A Sun,A Sun chungmong-hong wuchien-hochenyi-wensamanthako dramas independent movies international movies familyreckonsyoungersongreatermisfortuneaftermathincarcerationfollows  
A Tale of Love and Darkness,A Tale of Love and Darkness natalieportman natalieportmangiladkahanaamirtessler dramas international movies taleauthoramosozmemoirssurvivalsufferingbasedfamilyearlyyearsindependentisraelpoeticdramashares  
A Thin Line Between Love & Hate,A Thin Line Between Love & Hate martinlawrence martinlawrencelynnwhitfieldreginaking comedies romantic movies muchmayhemlifeglamorouswomanclueunleashphilanderingclubpromotersetswoorich  
A Thousand Words,A Thousand Words brianrobbins eddiemurphykerrywashingtoncliffcurtis comedies speakpermittalkingagentjackmustmakeeverysyllablecountlearnsthousandwordsdiesfastkarma  
A Trash Truck Christmas,A Trash Truck Christmas eddierosas henrykeaneglenkeanelucasneff children & family movies christmasevelandstrashtruckrescuinganimalfriendssantacrashholidayjunkyardhankhandeveryone  
A Trip to Jamaica,A Trip to Jamaica roberto.peters ayomakunfunkeakindelenseikpe-etim comedies international movies wildnewlyengagedcoupleunexpectedwaysromanticvacationunionjamaicaturnstestsmischievousadventure  
A truthful Mother,A truthful Mother ravishankarvenkateswaran revathirogernarayanansneharavishankar children & family movies bookfacingnoblecowkannadafolksonghungrytigerchildren’extraordinaryencounterdroughtfablebased  
A Twelve Year Night,A Twelve Year Night álvarobrechner antoniodelatorrechinodarínalfonsotort dramas international movies futureuruguayanpresidentjosémujicasolitaryconfinementsurvive12yearsfellowtupamaropoliticalprisonersfighttorture  
A Very Country Christmas,A Very Country Christmas justing.dyck beasantosgreystonholtgregvaughan music & musicals romantic movies meetsfindsheartbuddinginteriordesignerunfulfilledcountrymusicstarhideshometownway  
A Very Murray Christmas,A Very Murray Christmas sofiacoppola billmurraymileycyrusgeorgeclooney comedies music & musicals starcastmusicbarroomcamaraderiemischiefeveningholidayvarietyshowsirreverenttwistbillmurrayrounds  
A Very Special Love,A Very Special Love cathygarcia-molina johnlloydcruzsarahgeronimodanterivero international movies romantic movies dreamsmanlandingexactlyoptimisticwomanrealizesjobworkinglongtimecrushenvisioned  
A Walk to Remember,A Walk to Remember adamshankman mandymooreshanewestpetercoyote dramas romantic movies romanceblooms—tragedythreatenstearaparthighschoolplaybadboylandoncastoppositecampusbookwormjamie  
A Wednesday,A Wednesday neerajpandey anupamkhernaseeruddinshahjimmyshergill action & adventure dramas international movies policecommissionermustnegotiateanonymoustipterroristreleasebombdemandsfourmilitantsreceiving  
A Whisker Away,"A Whisker Away junichisato,tomotakashibayama miraishidanatsukihanaehiroakiogi anime features children & family movies international movies catpeculiargirltransformscatchattentionblurcrushrealizesanimalstartshumanline  "
A Witches' Ball,A Witches' Ball justing.dyck morganneundorfkarenslaterloukiaioannou children & family movies pendingtitleawayunfortunateincidentthreatensactfastbeatrixwaitwitchtakeinducted  
A Wrinkle in Time,A Wrinkle in Time avaduvernay stormreidoprahwinfreyreesewitherspoon children & family movies megquestfatherdisappearsdarknessyearsyoungerbrothercharleswallacecrossgalaxiesheartsave  
A Yellow Bird,A Yellow Bird k.rajagopal sivakumarpalakrishnanhuangluseemabiswas dramas independent movies international movies familyformschinesesexworkerconvicthopinghomelessexsingaporeservingbondbodyguardreunite  
A.I.C.O.,A.I.C.O. kazuyamurata harukashiraishiyusukekobayashimakotofurukawa anime series international tv shows stopgoodlieteameverythingaikoknewreachfamilyburstbeganjoiningplacediverssave  
A.M.I.,A.M.I. rustynixon debshowardphilipgrangersamrobertmuik horror movies darkmotherphone’artificialintelligenceapprelationshipviolentturnteenagegirlbondssoontakeslosing  
A.X.L.,A.X.L. oliverdaly alexneustaedterbeckyg.alexmacnicoll action & adventure children & family movies independent movies youngmotocrossracermileshillhelpsmilitarytophotpursuitsecretroboticcombatdogevaderuthlesscreator  
Aşk Tesadüfleri Sever,Aşk Tesadüfleri Sever ömerfaruksorak mehmetgünsürbelçimbilginaydaaksel dramas international movies romantic movies seriesencounterapartfatepullscrossedloverstogetheristanbulcoincidencesbringstwostar  
Aadu 2,Aadu 2 midhunmanuelthomas jayasuryavinayakansunnywayne comedies international movies heftyprizewarcompetitionshajipappangoofyoutlawsfindgangwinlowtugfundsplan  
Aagey Se Right,Aagey Se Right indrajitnattoji shreyastalpadekaykaymenonshivpandit comedies international movies music & musicals copfullgunfivedaysleavedueforcetriesunexpectedherobecomesselfretrievedoubtloses  
Aajcha Divas Majha,Aajcha Divas Majha chandrakantkulkarni sachinkhedekarashwinibhavemaheshmanjrekar comedies dramas international movies powerfulbureaucracyelderlysingerovercomeobstaclesplacedconscientiouspoliticianhelpspath  
Aakhri Adaalat,Aakhri Adaalat rajivmehra vinodkhannadimplekapadiajackieshroff action & adventure international movies ruthlesscriminalsdeskjobmusttakemattersintrepidpoliceinspectorforcedhandstechnicalityreleased  
Aalorukkam,Aalorukkam vcabhilash indranssreekanthmenonvishnuagasthya dramas independent movies international movies journalistsurprisingtruthslooklearnsleftagingfatherseeks16yearsagosonhelpdoctor  
Aamir,Aamir rajkumargupta rajeevkhandelwalgajrajraoshashankaghosh international movies thrillers cellphonethreatensfamilymancarryharmanonymouscallertensionthrillereveryorderhigh  
Aapla Manus,Aapla Manus satishrajwade nanapatekarsumeetraghvaniravatiharshe dramas international movies thrillers darkertruthbehindbalconyvictim’investigatorquestionsfamilydetermineduncovermanfallsallegedaccident  
Aarakshan,Aarakshan prakashjha amitabhbachchansaifalikhanmanojbajpayee dramas international movies teacherbasedreservationsmentordecisionjobsindiaeducationcausesconflictestablishcastesupremecourt  
Aashayein,Aashayein nageshkukunoor johnabrahamsonalsehgalprateekshalonkar dramas international movies chronicsmokerditchesfiancéedielearnsnursinghometerminalcancercheckscynicalgamblersnubsdoctors  
Aashik Awara,Aashik Awara umeshmehra saifalikhanmamtakulkarnimohnishbahl dramas international movies music & musicals raisedkindlythieffallsdeathsorphanedjimmygoeslovejyotiparentsgoonsrunwhosefatherindirectlycaused  
Aata Pita,Aata Pita uttungshelar sanjaynarvekarbharatjadhavsatishphulekar comedies dramas international movies municipalclerkstorycentralcharacterdecidedloanrecoveryofficerliteraryambitionsstalksbase  
Aaviri,Aaviri ravibabu ravibabunehachauhansrimuktha horror movies international movies thrillers youngdaughtercomesspelleeriespiritfirstchildlosingcouplemovespalatialhomeaccident  
Abby Hatcher,Abby Hatcher kyrankelly macydrouinwyattwhitepaulsun-hyunglee kids' tv exploringfeelingsfamilyhotellivefixingmishapsheartedgirlhelpsbigembracingfuzzlyfriendsspecialquirks  
Abby Sen,Abby Sen atanughosh abirchatterjeeraimasenarunimaghosh comedies dramas international movies rowseventhjobscitvproducertimefibufftravelsbacklosingemploymentprospectsimprove1980  
ABCD 2,ABCD 2 remod'souza prabhudevavarundhawanshraddhakapoor dramas international movies music & musicals accuseddancetroupeseeksworldhiphopchampionshipcheatingwinningrealitytvshowredeem  
ABCD: Any Body Can Dance,ABCD: Any Body Can Dance remod'souza prabhudevakaykaymenonganeshacharya dramas international movies seesyoungstreetdancerspreppingthrownelitedancestudiospiritsreboundfoundedvishnuannualcontest  
"Abdullah, The Final Witness","Abdullah, The Final Witness hashimnadeemkhan sajidhasanhameedsheikhhabibullahpanezai dramas international movies fatedtravelersacrossquettarealeventscaseinspireddrivingfiveilltruckerjailedofficertakingdramafollows  "
Abhinetri,Abhinetri a.l.vijay tamannaahbhatiaprabhudevasonusood comedies international movies sci-fi & fantasy womannewhomecorporatemanreluctantlymarriesduevillagedifferentpersonaabruptlyassumesfamilypressure  
Abnormal Summit,"Abnormal Summit jung-ahim,seung-ukjo hyun-moojunsi-kyungsungse-yoonyoo international tv shows korean tv shows stand-up comedy & talk shows beyondkoreancelebsissuessurroundkorealed–usuallylighthearteddebatestriomultinationalpanelmenengage  "
Abominable Christmas,Abominable Christmas chadvandekeere isabellaacresdrakebellemilioestevez children & family movies comedies scientisttryinghumanfamilycapturetwosmallabominablesnowmenfleemountainescapeendspendingchristmas  
About a Boy,"About a Boy chrisweitz,paulweitz nicholashoulttonicollettevictoriasmurfit comedies dramas international movies hipimaginarysoninventsparentmeetingsstartsattendingsinglefindavailablewomenirresponsiblelondoner  "
About Time,About Time richardcurtis domhnallgleesonrachelmcadamsbillnighy comedies dramas international movies womanmendreamsfamilytimewingobackchangetravellivestimlearnsdecides  
Abzurdah,Abzurdah danielagoggi eugeniasuárezestebanlamothegloriacarrá dramas international movies obsessiondisenfranchised16sidedaffairdescendsyearbriefoneanorexiaoldermaninternetoldgirlconnects  
Acapulco La vida va,Acapulco La vida va alfonsoserranomaturino patriciocastillosergiobustamantealejandrosuárez comedies dramas international movies onethreelifelongfriendstravelrealreasonbehindsurprisestripholdsfindlostloveacapulcoostensibly  
